"Órgão (Cod)";"Órgão";"UO (Cod)";"UO";"Função (Cod)";"Função";"Subfunção (Cod)";"Subfunção";"GND (Cod)";"GND";"Autorizado";"Pago";"RP Pago"
"26000";"MINISTERIO DA EDUCACAO";"26406";"INSTITUTO FEDERAL DO ESPÍRITO SANTO";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"4";"INVESTIMENTOS";"42898124";"11781703.23";"14218673.74"
"26000";"MINISTERIO DA EDUCACAO";"26273";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE - RS";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"250000";"63289.84";"420092.81"
"26000";"MINISTERIO DA EDUCACAO";"26274";"UNIVERSIDADE FEDERAL DE UBERLÂNDIA";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"105313229";"23280468.46";"19995345.65"
"26000";"MINISTERIO DA EDUCACAO";"26350";"FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"3";"OUTRAS DESPESAS CORRENTES";"21689122";"14799476.27";"4478632.16"
"26000";"MINISTERIO DA EDUCACAO";"26275";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"3";"OUTRAS DESPESAS CORRENTES";"40571238";"15874362.62";"4140958.61"
"26000";"MINISTERIO DA EDUCACAO";"26235";"UNIVERSIDADE FEDERAL DE GOIÁS";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"85578151";"21902649.52";"43139573.65"
"26000";"MINISTERIO DA EDUCACAO";"26273";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE - RS";"12";"EDUCACAO";"365";"EDUCACAO INFANTIL";"3";"OUTRAS DESPESAS CORRENTES";"156000";"147385.65";"0"
"26000";"MINISTERIO DA EDUCACAO";"26298";"FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO";"12";"EDUCACAO";"131";"COMUNICACAO SOCIAL";"3";"OUTRAS DESPESAS CORRENTES";"9900000";"8950190.38";"2211852.3"
"26000";"MINISTERIO DA EDUCACAO";"26252";"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE";"12";"EDUCACAO";"306";"ALIMENTACAO E NUTRICAO";"3";"OUTRAS DESPESAS CORRENTES";"8880000";"8789616.05";"0"
"26000";"MINISTERIO DA EDUCACAO";"26435";"INSTITUTO FEDERAL DO RIO GRANDE DO NORTE";"12";"EDUCACAO";"301";"ATENCAO BASICA";"3";"OUTRAS DESPESAS CORRENTES";"3326690";"3217701.21";"4828"
"26000";"MINISTERIO DA EDUCACAO";"26283";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL";"12";"EDUCACAO";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"34661306";"33540958.95";"0"
"26000";"MINISTERIO DA EDUCACAO";"26247";"UNIVERSIDADE FEDERAL DE SANTA MARIA";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"331100";"261901.59";"372728.83"
"26000";"MINISTERIO DA EDUCACAO";"26257";"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS";"12";"EDUCACAO";"331";"PROTECAO E BENEFICIOS AO TRABALHADOR";"3";"OUTRAS DESPESAS CORRENTES";"780000";"619639.15";"0"
"26000";"MINISTERIO DA EDUCACAO";"26276";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"50311088";"5276555.78";"26171744.38"
"26000";"MINISTERIO DA EDUCACAO";"26403";"INSTITUTO FEDERAL DO AMAZONAS";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"4";"INVESTIMENTOS";"44332348";"19296803.09";"14324045.41"
